Collection,24 hs %,7 d %,Owners,Items,Category,Chain,Twitter followers,Ownership %,Volume (USD) in M,Floor (USD),Gas Volume (USD) in M,Market Share %,Growth,Ownership Status,Popularity,Accesibility,Gas Status,Market Status,Recommendation
Creadore Universe,23.3,9.92,1600,1600,New,Polygon,12500,100,0.0686039544,1026.9504,0.08,0.19,Hot - watchlist,Not interesting,Potential community,Top Collectors,Medium gas,Fish,Highly recommended
KemonoVerse,0,-90.7,531,3300,New,Polygon,8700,16.09090909,0.0556753824,146.7072,0.02655,0.15,Not interesting,Not interesting,Emerging,Middle Accesible,Medium gas,Fish,Sligthly recommended
The Cornz,-100,-93.55,1000,15000,New,Polygon,1330,6.666666667,0.0226295856,18.3384,0.05,0.06,Not interesting,Not interesting,Emerging,Highly accesible,Medium gas,Fish,Give it a chance
Adocatty,0,-50.89,65,2000,New,Polygon,0,3.25,0.0167612976,18.3384,0.00325,0.05,Not interesting,Not interesting,Not interesting,Highly accesible,Medium gas,Fish,Not recommended
The Martians: Metaverse,-50.19,39.02,710,5000,Art,Polygon,73800,14.2,3.299756681,1136.9808,0.0355,8.97,Not interesting,Very low OS,Community,Top Collectors,Medium gas,Shark,Sligthly recommended
DEFY Genesis Masks,-26.54,-26.05,4800,8700,Art,Polygon,34000,55.17241379,2.058540415,513.4752,0.24,5.6,Not interesting,Medium OS,Potential community,Top Collectors,High gas,Shark,Give it a chance
Artvatars,-100,-80.22,1600,6700,Art,Polygon,22200,23.88059701,1.30477716,165.0456,0.08,3.55,Not interesting,Very low OS,Potential community,Middle Accesible,Medium gas,Shark,Highly recommended
Chinese Zodiaz Metavase by YassartLabs,0,0,143,1000,Art,Polygon,108,14.3,0.779932152,0,0.00715,2.12,Not interesting,Very low OS,Emerging,Not interesting,Medium gas,Shark,Give it a chance
Redemption Tokens for Brendan Murphy Physical Art,0,0,1000,5,Art,Polygon,40000,20000,0.4628245392,0,0.05,1.26,Not interesting,Massive OS,Potential community,Not interesting,Medium gas,Shark,Not recommended
BCCG,-100,55979.5,5400,58,Collectibles,Polygon,0,9310.344828,7.376566385,18.3384,0.27,20.06,Not interesting,Massive OS,Not interesting,Highly accesible,High gas,Whale,Not recommended
Chumbi Valley Official,149.48,44.07,1800,4100,Collectibles,Polygon,246300,43.90243902,5.69544858,366.768,0.09,15.49,Hot - buy now,Low OS,Community,Middle Accesible,Medium gas,Shark,Highly recommended
Ember Sword Land,-85,19,6100,40000,Collectibles,Polygon,2685,15.25,5.577844421,183.384,0.305,15.17,Not interesting,Very low OS,Emerging,Middle Accesible,High gas,Shark,Give it a chance
DogeSound Compilation (3PM official),0,-100,397,4,Music,Polygon,2288,9925,0.0567023328,0,0.01985,0.15,Not interesting,Not interesting,Emerging,Not interesting,Medium gas,Fish,Not recommended
WVRPS Drops,5864.4,129,6100,10,Music,Polygon,26300,61000,0.0137904768,183.384,0.305,0.04,Hot - buy now,Not interesting,Potential community,Middle Accesible,High gas,Fish,Highly recommended
XXXTentacion NFT Collection (Official),-100,136,2900,30000,Music,Polygon,0,9.666666667,0.0036493416,183.384,0.145,0.01,Not interesting,Not interesting,Not interesting,Middle Accesible,High gas,Fish,Not recommended
Mint Songs,0,74,2800,74600,Music,Polygon,16100,3.753351206,0.0035026344,183.384,0.14,0.01,Not interesting,Not interesting,Potential community,Middle Accesible,High gas,Fish,Not recommended
Boomboom Monsters,0,-93,38,111,Music,Polygon,4600,34.23423423,0.0023473152,0,0.0019,0.01,Not interesting,Not interesting,Emerging,Not interesting,Medium gas,Fish,Sligthly recommended
Itadakimasu Man,0,-100,330,758,Photography,Polygon,2162,43.53562005,0.037685412,183.384,0.0165,0.1,Not interesting,Not interesting,Emerging,Middle Accesible,Medium gas,Fish,Sligthly recommended
AP Photojournalism NFTs,0,-100,122,190,Photography,Polygon,15800000,64.21052632,0.0059416416,73.3536,0.0061,0.02,Not interesting,Not interesting,Community,Middle Accesible,Medium gas,Fish,Not recommended
8 yers of Everydays,-100,0,7,2400,Photography,Polygon,0,0.2916666667,0.0006235056,0,0.00035,0,Not interesting,Not interesting,Not interesting,Not interesting,Medium gas,Not interesting,Not recommended
Foundnon: Artifacts,0,0,80,130,Photography,Polygon,2778,61.53846154,0.0005318136,0,0.004,0,Not interesting,Not interesting,Emerging,Not interesting,Medium gas,Not interesting,Not recommended
The New Days,0,-100,2,4,Photography,Polygon,0,50,0.0005318136,0,0.0001,0,Not interesting,Not interesting,Not interesting,Not interesting,Medium gas,Not interesting,Not recommended
ZED RUN,-30.24,122.47,26700,200100,Sports,Polygon,69500,13.34332834,1.741304434,18.3384,1.335,4.74,Not interesting,Very low OS,Community,Highly accesible,High gas,Shark,Sligthly recommended
REVV Racing,93.31,43.29,59400,169200,Sports,Polygon,157200,35.10638298,0.5957596008,18.3384,2.97,1.62,Hot - buy now,Low OS,Community,Highly accesible,High gas,Shark,Highly recommended
MetaSoccer Youth Scouts,0,-80.21,1400,8500,Sports,Polygon,0,16.47058824,0.3896543232,36.6768,0.07,1.06,Not interesting,Very low OS,Not interesting,Highly accesible,Medium gas,Shark,Give it a chance
Friday Night Punks,-4.26,-2.97,657,321,Sports,Polygon,1700,204.6728972,0.0877675824,55.0152,0.03285,0.24,Not interesting,Massive OS,Emerging,Middle Accesible,Medium gas,Shark,Not recommended
BCCG,-100,55979.5,5400,58,Trading Cards,Polygon,0,9310.344828,7.376566385,18.3384,0.27,20.06,Not interesting,Massive OS,Not interesting,Highly accesible,High gas,Whale,Not recommended
Ethernity's Master Collection,5060.6,-43.84,8200,22100,Trading Cards,Polygon,127100,37.1040724,2.261308104,18.3384,0.41,6.15,Not interesting,Low OS,Community,Highly accesible,High gas,Shark,Sligthly recommended
Marble Cards,0,-100,10200,256900,Trading Cards,Polygon,27500,3.970416504,1.134046656,0,0.51,3.08,Not interesting,Not interesting,Potential community,Not interesting,High gas,Shark,Not recommended
PolkaFantasy,-100,2589,1300,6700,Trading Cards,Polygon,48800,19.40298507,0.4164283872,0,0.065,1.13,Not interesting,Very low OS,Community,Not interesting,Medium gas,Shark,Give it a chance
Decentral Games ICE Poker,33.37,-3.639,4100,34200,Utility,Polygon,101500,11.98830409,22.18586967,605.1672,0.205,60.34,Not interesting,Very low OS,Community,Top Collectors,High gas,Whale,Highly recommended
Chicken Derby,-48.62,-2.807,6000,33300,Utility,Polygon,25000,18.01801802,7.37535605,36.6768,0.3,20.06,Not interesting,Very low OS,Potential community,Highly accesible,High gas,Whale,Sligthly recommended
Crypto Raiders Characters,53.9,63.98,4500,68900,Utility,Polygon,29000,6.531204644,4.195569182,18.3384,0.225,11.41,Hot - buy now,Very low OS,Potential community,Highly accesible,High gas,Shark,Highly recommended
Genesis Curry Flow,4063,45.87,2200,5,Utility,Polygon,484000,44000,3.990050734,183.384,0.11,10.85,Hot - buy now,Massive OS,Community,Middle Accesible,Medium gas,Shark,Highly recommended
The Red Village Champions,-12.3,-24.19,2000,11000,Utility,Polygon,19200,18.18181818,3.836705033,110.0304,0.1,10.43,Not interesting,Very low OS,Potential community,Middle Accesible,Medium gas,Shark,Highly recommended
Ember Sword Land,-85.08,19,6100,40000,Virtual Worlds,Polygon,87500,15.25,5.577844421,183.384,0.305,15.17,Not interesting,Very low OS,Community,Middle Accesible,High gas,Shark,Not recommended
Mona Spaces (Polygon),0,0,82,123,Virtual Worlds,Polygon,16800,66.66666667,0.0445989888,183.384,0.0041,0.12,Not interesting,Not interesting,Potential community,Middle Accesible,Medium gas,Fish,Give it a chance
Cyber Destinations Curated,0,0,1,1,Virtual Worlds,Polygon,0,100,0.0233997984,0,5.00E-05,0.06,Not interesting,Not interesting,Not interesting,Not interesting,Low gas,Fish,Not recommended
NFT Moon Metaverse (Polygon),0,0,163,286,Virtual Worlds,Polygon,50800,56.99300699,0.0024573456,1100.304,0.00815,0.01,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Fish,Not recommended
Shen V4,0,0,163,10,Virtual Worlds,Polygon,0,1630,0,0,0.00815,0,Not interesting,Not interesting,Not interesting,Not interesting,Medium gas,Not interesting,Not recommended
Cardboard Citizens,-27.42,-63.2,3100,6800,New,Solana,14400,45.58823529,3.1788,220.5,3.13E-06,8.65,Not interesting,Low OS,Potential community,Middle Accesible,Low gas,Shark,Give it a chance
Balloonsville,-32.44,-15.88,1400,5000,New,Solana,16600,28,2.634165,0,1.41E-06,7.16,Not interesting,Low OS,Potential community,Not interesting,Low gas,Shark,Give it a chance
The Bridged bt The Fracture,-19.79,-60.77,4300,9800,New,Solana,0,43.87755102,2.505645,180,4.35E-06,6.81,Not interesting,Low OS,Not interesting,Middle Accesible,Low gas,Shark,Sligthly recommended
Bunnies N Homies Club,-39.57,0,4100,7600,New,Solana,89700,53.94736842,2.03697,179.1,4.14E-06,5.54,Not interesting,Medium OS,Community,Middle Accesible,Low gas,Shark,Highly recommended
Okay Bears,-73,-68.4,5400,10000,Art,Solana,150000,54,73.47996,7605,5.46E-06,199.84,Not interesting,Medium OS,Community,Top Collectors,Low gas,Whale,Give it a chance
ASTRALS,-5,0.93,3600,10000,Art,Solana,35800,36,6.34347,0,3.64E-06,17.25,Not interesting,Low OS,Potential community,Not interesting,Low gas,Whale,Highly recommended
SOLgods,-18.91,-5.99,1000,670,Art,Solana,39100,149.2537313,4.968765,2430,1.01E-06,13.51,Not interesting,Massive OS,Potential community,Top Collectors,Low gas,Shark,Sligthly recommended
MOUS IN DA HOUS,-15.6,-68.81,750,4400,Art,Solana,27300,17.04545455,4.82013,283.5,7.58E-07,13.11,Not interesting,Very low OS,Potential community,Middle Accesible,Not interesting,Shark,Give it a chance
DeGods,-42.67,-16.9,4300,10000,Collectibles,Solana,10500,43,24.38901,18824.85,4.35E-06,66.33,Not interesting,Low OS,Potential community,Top Collectors,Low gas,Whale,Sligthly recommended
Cets on Creck,-67.14,-16.35,4100,7000,Collectibles,Solana,44200,58.57142857,12.980025,2875.5,4.14E-06,35.3,Not interesting,Medium OS,Community,Top Collectors,Low gas,Whale,Sligthly recommended
TombStoned High Society,-35.04,26.37,893,6600,Collectibles,Solana,61500,13.53030303,6.567885,652.5,9.03E-07,17.86,Not interesting,Very low OS,Community,Top Collectors,Low gas,Whale,Highly recommended
Degenerate Ape Academy,-29.91,-25.91,4300,10000,Collectibles,Solana,111111,43,6.505065,2790,4.35E-06,17.69,Not interesting,Low OS,Community,Top Collectors,Low gas,Whale,Give it a chance
Space Runners,-100,-88.78,5100,9800,Collectibles,Solana,0,52.04081633,5.750685,450,5.15E-06,15.64,Not interesting,Medium OS,Not interesting,Top Collectors,Low gas,Shark,Give it a chance
PixelBands,7820,122.54,1200,4400,Music,Solana,16000,27.27272727,0.63749385,27.9,1.21E-06,1.73,Hot - buy now,Low OS,Potential community,Highly accesible,Low gas,Shark,Highly recommended
SVPLY CHVN Male Robots,1423.8,-79.77,889,2100,Music,Solana,3253,42.33333333,0.2213532,135,8.99E-07,0.6,Not interesting,Low OS,Emerging,Middle Accesible,Low gas,Shark,Highly recommended
NETGALA,0,100,761,2500,Music,Solana,10700,30.44,0.07137495,33.3,7.69E-07,0.19,Not interesting,Not interesting,Potential community,Highly accesible,Not interesting,Fish,Sligthly recommended
Culture Kids,0,0,5,5,Music,Solana,3332,100,0,0,5.05E-09,0,Not interesting,Not interesting,Emerging,Not interesting,Not interesting,Not interesting,Not recommended
ONEUM,0,0,0,0,Music,Solana,0,0,0,0,0,0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not recommended
Sol Potato NFT,0,-32.02,115,443,Photography,Solana,295,25.95936795,0.00326745,54,1.16E-07,0.01,Not interesting,Not interesting,Emerging,Middle Accesible,Not interesting,Fish,Not recommended
Celebrating the Wins,-100,2711.9,391,2000,Photography,Solana,0,19.55,0.0021645,33.75,3.95E-07,0.01,Not interesting,Not interesting,Not interesting,Highly accesible,Not interesting,Fish,Not recommended
Shooting for the Gold,0,0,31,122,Photography,Solana,0,25.40983607,0.0001269,45,3.13E-08,0,Not interesting,Not interesting,Not interesting,Middle Accesible,Not interesting,Not interesting,Not recommended
Aerial Isolation,0,0,12,12,Photography,Solana,0,100,0,0,1.21E-08,0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not recommended
VaranasiMornings,0,0,2,9,Photography,Solana,0,22.22222222,0,0,2.02E-09,0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not recommended
Photo Finish Live: PFP Collection,192.82,21.68,2100,15000,Sports,Solana,15900,14,2.2761,220.5,2.12E-06,6.19,Hot - buy now,Very low OS,Potential community,Middle Accesible,Low gas,Shark,Highly recommended
Blackasset Legends,90.81,101.27,684,1700,Sports,Solana,0,40.23529412,0.313605,135,6.91E-07,0.85,Hot - buy now,Low OS,Not interesting,Middle Accesible,Not interesting,Shark,Highly recommended
VBA Season0 Pack,218.08,59.77,146,1700,Sports,Solana,9304,8.588235294,0.16893,61.2,1.48E-07,0.46,Hot - buy now,Very low OS,Emerging,Middle Accesible,Not interesting,Shark,Highly recommended
6 RINGDS,0,161.17,146,176,Sports,Solana,0,82.95454545,0.039375,0,1.48E-07,0.11,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Fish,Not recommended
VBA PLayers,53.59,16.62,581,11700,Sports,Solana,9304,4.965811966,0.038925,12.15,5.87E-07,0.11,Hot - buy now,Not interesting,Emerging,Highly accesible,Not interesting,Fish,Highly recommended
