,Collection,24 hs %,7 d %,Owners,Items,Category,Chain,Twitter followers,Ownership %,Volume (USD) in M,Floor (USD),Gas Volume (USD) in M,Gas %,Market Share %,Growth,Ownership Status,Popularity,Accesibility,Gas Status,Market Status
121,SVPLY CHVN Male Robots,1423.8,-79.77,889,2100,Music,Solana,3253,42.333333333333336,0.2213532,135.0,8.985123e-07,4.059179176086002e-06,0.6,Not interesting,Low OS,Emerging,Middle Accesible,Low gas,Shark
122,NETGALA,0.0,100.0,761,2500,Music,Solana,10700,30.44,0.07137494999999999,33.3,7.691427e-07,1.07760874088178e-05,0.19,Not interesting,Not interesting,Potential community,Highly accesible,Not interesting,Fish
123,Culture Kids,0.0,0.0,5,5,Music,Solana,3332,100.0,0.0,0.0,5.0534999999999996e-09,inf,0.0,Not interesting,Not interesting,Emerging,Not interesting,Not interesting,Not interesting
124,ONEUM,0.0,0.0,0,0,Music,Solana,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
125,Sol Potato NFT,0.0,-32.019999999999996,115,443,Photography,Solana,295,25.95936794582393,0.00326745,54.0,1.162305e-07,3.557223522930726e-05,0.01,Not interesting,Not interesting,Emerging,Middle Accesible,Not interesting,Fish
126,Celebrating the Wins,-100.0,2711.9,391,2000,Photography,Solana,0,19.55,0.0021645,33.75,3.9518370000000005e-07,0.00018257505197505198,0.01,Not interesting,Not interesting,Not interesting,Highly accesible,Not interesting,Fish
127,Shooting for the Gold,0.0,0.0,31,122,Photography,Solana,0,25.40983606557377,0.0001269,45.0,3.1331699999999996e-08,0.0002469007092198581,0.0,Not interesting,Not interesting,Not interesting,Middle Accesible,Not interesting,Not interesting
128,Aerial Isolation,0.0,0.0,12,12,Photography,Solana,0,100.0,0.0,0.0,1.2128400000000001e-08,inf,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
129,VaranasiMornings,0.0,0.0,2,9,Photography,Solana,0,22.22222222222222,0.0,0.0,2.0214e-09,inf,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
130,Photo Finish Live: PFP Collection,192.82,21.68,2100,15000,Sports,Solana,15900,14.000000000000002,2.2761,220.50000000000003,2.12247e-06,9.325029655990511e-07,6.19,Hot - buy now,Very low OS,Potential community,Middle Accesible,Low gas,Shark
131,Blackasset Legends,90.81,101.27,684,1700,Sports,Solana,0,40.23529411764706,0.313605,135.0,6.913188e-07,2.2044253120964266e-06,0.85,Hot - buy now,Low OS,Not interesting,Middle Accesible,Not interesting,Shark
132,VBA Season0 Pack,218.08,59.77,146,1700,Sports,Solana,9304,8.588235294117647,0.16893,61.2,1.475622e-07,8.735109216835375e-07,0.46,Hot - buy now,Very low OS,Emerging,Middle Accesible,Not interesting,Shark
133,6 RINGDS,0.0,161.17,146,176,Sports,Solana,0,82.95454545454545,0.039375,0.0,1.475622e-07,3.747611428571428e-06,0.11,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Fish
134,VBA PLayers,53.59,16.619999999999997,581,11700,Sports,Solana,9304,4.965811965811966,0.038925,12.15,5.872167000000001e-07,1.508584971098266e-05,0.11,Hot - buy now,Not interesting,Emerging,Highly accesible,Not interesting,Fish
135,DAGs - Evolved Collection,-100.0,62.59,819,11300,Trading Cards,Solana,0,7.2477876106194685,0.080685,40.5,8.277633e-07,1.0259196876742888e-05,0.22,Not interesting,Very low OS,Not interesting,Highly accesible,Not interesting,Shark
