Collection,Volume,24 hs %,7 d %,Floor,Owners,Items,Category,Chain,Crypto,Is +1 category?,Marketplace,Twitter followers,Volume (USD),Floor (USD)
ONEUM,,,,,,,Music,Solana,SOL,0,,,0,0
Sol Potato NFT,72.61,,-0.3202,1.2,115,443,Photography,Solana,SOL,0,,295,3267.45,54
Celebrating the Wins,48.1,-1,27.119,0.75,391,2000,Photography,Solana,SOL,0,,,2164.5,33.75
Shooting for the Gold,2.82,,,1,31,122,Photography,Solana,SOL,0,,,126.9,45
Aerial Isolation,,,,,12,12,Photography,Solana,SOL,0,,,0,0
VaranasiMornings,,,,,2,9,Photography,Solana,SOL,0,,,0,0
Photo Finish Live: PFP Collection,50580,1.9282,0.2168,4.9,2100,15000,Sports,Solana,SOL,0,,15900,2276100,220.5
Blackasset Legends,6969,0.9081,1.0127,3,684,1700,Sports,Solana,SOL,0,,,313605,135
VBA Season0 Pack,3754,2.1808,0.5977,1.36,146,1700,Sports,Solana,SOL,0,,9304,168930,61.2
6 RINGDS,875,,1.6117,,146,176,Sports,Solana,SOL,0,,,39375,0
VBA PLayers,865,0.5359,0.1662,0.27,581,11700,Sports,Solana,SOL,0,,9304,38925,12.15
DAGs - Evolved Collection,1793,-1,0.6259,0.9,819,11300,Trading Cards,Solana,SOL,0,,,80685,40.5
Aces NFT,776,,-0.5087,0.5,898,5400,Trading Cards,Solana,SOL,0,,41300,34920,22.5
Solaxy Metaverse,646,0.4658,-0.7192,1.99,494,1000,Trading Cards,Solana,SOL,0,,10300,29070,89.55
Secret Space Society: OG Club Card,246,0.478,105.248,,197,333,Trading Cards,Solana,SOL,0,,5620,11070,0
SHIZOKU,118,0.4933,,0.44,150,1100,Trading Cards,Solana,SOL,0,,3864,5310,19.8
Shadowy Super Coder,233366,59.254,0.0612,,148,10000,Utility,Solana,SOL,0,,41800,10501470,0
Blocksmith Labs,166182,-0.3506,0.0455,225,2800,4400,Utility,Solana,SOL,0,,49900,7478190,10125
Stoned Ape Crew,132670,2.46,0.1184,,4100,4200,Utility,Solana,SOL,0,,67200,5970150,0
Famous Fox Federation,129517,-0.1763,-0.462,49.7,4100,7800,Utility,Solana,SOL,0,,43300,5828265,2236.5
Dazed Ducks,101954,-0.2062,-0.6542,10,3500,10000,Utility,Solana,SOL,0,,23600,4587930,450
Portals,204275,0.7048,-0.1232,44.99,2900,5000,Virtual Worlds,Solana,SOL,0,,51500,9192375,2024.55
The Suites,102905,-0.0404,-0.4388,9.8,2700,4900,Virtual Worlds,Solana,SOL,0,,21400,4630725,441
Enviro,96022,-0.1261,-0.1845,,3700,14000,Virtual Worlds,Solana,SOL,0,,21000,4320990,0
LUX | Real Estate,92998,323.667,-0.2026,4.86,2600,5000,Virtual Worlds,Solana,SOL,0,,90300,4184910,218.7
Boryoku Dragonz,89189,,-0.7232,444,548,1100,Virtual Worlds,Solana,SOL,0,,70000,4013505,19980
KLAYDICE GENESIS-OFFICIAL,1578499,-0.012,-0.4169,1398,2000,3800,New,Klaytn,KLAY,0,,74200,669283.576,592.752
CHANGEVERSE,1049924,,-1,9500,3000,6000,New,Klaytn,KLAY,0,,1271,445167.776,4028
Waterbomb League Official,297319,-0.5341,-0.3053,169,644,2800,New,Klaytn,KLAY,0,,2421,126063.256,71.656
Hyundai E&C 75th Anniversary NFT,234931,-0.6893,,539,557,750,New,Klaytn,KLAY,0,,,99610.744,228.536
KEROZ LAND MINT PASS,177780,,-0.3739,345,691,3600,New,Klaytn,KLAY,0,,13900,75378.72,146.28
